ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10192,1,1,0,0,0,0,0,0,0,0,0,0
10192,2,1,10,0,0,0,0,0,0,0,0,0
10193,1,1,0,0,0,0,0,0,0,0,0,0
10193,2,1,30,30,30,30,30,30,30,30,30,30
10194,1,1,0,0,0,0,0,0,0,0,0,0
10194,2,1,0,0,0,0,0,0,0,0,0,0
10195,1,1,0,0,0,0,0,0,0,0,0,0
10195,2,1,0,0,0,0,0,0,0,0,0,0
10196,1,1,0,0,0,0,0,0,0,0,0,0
10197,1,1,0,0,0,0,0,0,0,0,0,0
10198,1,1,11,11,11,11,11,11,11,11,11,11
10199,0,1,0,0,0,0,0,0,0,0,0,0
10199,2,1,0,0,0,0,0,0,0,0,34,0
10200,0,1,0,0,0,0,0,0,0,0,0,0
10200,1,1,0,0,0,0,0,0,0,0,0,0
10201,1,1,18,18,18,18,18,18,18,18,18,18
10202,1,1,8,8,8,8,8,8,8,8,8,8
10203,1,1,0,0,0,0,0,0,0,0,0,0
10204,1,1,0,0,9,13,11,0,11,0,0,0
10205,1,1,0,0,0,0,0,0,0,0,0,0
10205,2,1,0,0,0,0,0,0,0,0,0,0
10206,1,1,0,0,0,0,0,0,0,0,0,0
10207,1,1,0,0,0,0,0,0,0,0,0,0
10207,2,1,0,0,0,0,0,0,0,0,0,0
10208,1,1,0,0,0,0,0,0,0,0,0,0
10209,1,1,18,4,0,0,0,0,0,16,0,0
10210,1,1,0,0,10,0,12,0,0,15,0,0
10211,1,1,0,0,0,0,0,0,22,0,0,0
10211,2,1,0,0,0,0,0,0,0,20,0,0
10212,1,1,12,19,23,12,10,2,15,13,13,11
10213,0,1,4,4,4,4,4,4,4,4,4,4
10213,1,1,0,0,0,0,0,0,0,0,0,0
10214,1,1,0,0,0,0,0,0,0,0,0,0
10215,1,1,0,0,0,0,0,0,0,0,7,0
10215,2,1,0,0,0,0,0,0,0,0,0,0
10216,1,1,0,0,0,0,0,0,0,0,0,0
10216,2,1,0,0,0,0,0,0,0,11,0,0
10217,0,1,27,27,27,27,27,27,27,27,27,27
10217,1,1,0,0,0,21,0,18,11,0,22,5
10218,1,1,16,34,11,29,12,25,20,0,22,0
10219,1,1,18,19,13,10,5,15,10,7,9,17
10219,2,1,0,0,18,0,0,0,0,0,10,0
10220,1,1,0,0,0,0,0,0,0,0,0,0
10221,1,1,0,0,0,0,0,0,0,0,0,0
10221,2,1,0,0,0,0,0,0,0,0,0,0
10221,3,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,0,0,0,15,0,0,24
10222,2,1,0,0,0,0,0,0,0,0,0,0
10223,1,1,21,21,21,21,21,21,21,21,21,21
10223,2,1,0,0,0,0,0,0,0,0,0,0
10224,1,1,0,0,0,0,0,0,0,0,0,0
10225,1,1,0,0,0,0,0,0,0,0,0,0
10225,2,1,0,0,0,0,0,0,0,0,0,0
10226,1,1,0,0,0,0,0,0,0,0,0,0
10227,0,1,36,36,36,36,36,36,36,36,36,36
10227,1,1,0,0,0,0,0,0,0,0,0,0
10228,1,1,0,0,0,0,0,0,0,0,0,0
10229,0,1,0,0,0,0,0,0,0,0,0,0
10229,1,1,0,0,0,0,0,0,0,0,0,0
10230,1,1,0,0,0,0,0,0,0,0,0,0
10231,1,1,0,0,0,0,0,0,0,0,0,0
10231,2,1,0,0,0,0,0,0,0,0,0,0
10232,1,1,24,20,19,20,40,40,13,24,16,22
10233,1,1,22,22,22,22,22,22,22,22,22,22
10234,1,1,16,16,16,16,16,16,16,16,16,16
10235,1,1,25,18,23,0,0,5,16,27,29,12
10236,1,1,0,0,0,25,21,17,0,12,11,13
10237,1,1,24,24,24,24,24,24,24,24,24,24
10237,2,1,0,0,0,0,0,0,0,0,0,0
10237,3,1,7,7,7,7,7,7,7,7,7,7
10238,1,1,0,0,0,0,0,0,0,0,0,0
10238,2,1,0,0,0,0,0,0,0,0,0,0
10239,1,1,0,0,0,0,0,0,0,0,0,0
10239,2,1,0,0,0,0,0,0,0,0,0,0
10239,3,1,0,0,0,0,0,0,0,0,0,0
10240,1,1,0,0,0,0,0,0,0,0,0,0
10240,2,1,0,0,0,0,0,0,0,0,0,0
10241,1,1,0,0,0,0,0,0,0,0,0,0
10241,2,1,0,0,0,0,0,0,0,0,0,0
10242,1,1,0,0,0,0,0,0,0,0,0,0
10242,2,1,20,0,0,3,14,0,1,0,0,0
10243,1,1,0,0,0,0,0,0,0,0,0,0
10244,0,1,0,0,0,0,0,0,0,0,0,0
10244,1,1,0,0,0,0,0,0,0,0,0,0
10245,1,1,30,30,30,30,30,30,30,30,30,30
10246,1,1,0,0,0,0,0,0,0,0,0,0
10246,2,1,0,0,0,0,0,0,0,0,0,0
10246,3,1,0,0,0,0,0,0,0,0,0,0
10247,1,1,23,23,23,23,23,23,23,23,23,23
10248,1,1,20,20,20,20,20,20,20,20,20,20
10248,2,1,0,0,0,0,0,0,0,0,0,0
10249,1,1,26,3,12,13,22,27,9,19,0,22
10250,1,1,31,31,31,31,31,31,31,31,31,31
10251,0,1,0,0,0,0,0,0,0,0,0,0
10251,1,1,0,0,0,0,0,0,0,0,0,0
10252,1,1,7,0,25,0,5,0,0,16,0,0
10253,1,1,0,0,0,0,0,0,0,0,0,22
10254,1,1,0,0,0,0,0,0,0,0,0,0
10255,1,1,0,0,0,0,0,0,0,0,0,0
10255,2,1,0,0,0,0,0,0,0,0,0,0
10256,1,1,0,0,0,0,0,0,0,0,0,0
10256,2,1,0,14,16,16,0,0,0,0,0,0
10256,3,1,0,0,0,0,0,0,0,0,0,0
10256,4,1,0,0,0,0,0,0,0,0,0,0
10256,5,1,0,0,0,0,0,0,0,0,0,0
10257,1,1,0,0,0,0,0,0,0,0,0,0
10257,2,1,0,0,0,0,0,0,0,0,0,0
10258,1,1,0,0,0,0,0,0,0,0,0,0
10258,2,1,0,0,0,0,0,0,0,0,0,0
10259,1,1,0,0,0,0,0,0,0,0,0,11
10259,2,1,0,0,0,0,0,0,0,0,0,14
10259,3,1,0,0,0,0,0,0,0,0,0,0
10260,1,1,0,0,0,0,0,0,0,0,0,0
10260,2,1,0,0,0,0,0,0,0,0,0,0
10261,1,1,0,0,0,0,0,0,26,0,0,0
10262,1,1,0,0,0,0,0,0,0,0,9,0
10262,2,1,28,0,0,0,0,0,0,0,0,0
10263,1,1,0,0,0,0,0,0,0,0,0,0
10263,2,1,0,0,0,0,0,0,0,0,0,0
10264,1,1,25,25,25,25,25,25,25,25,25,25
10264,2,1,0,0,0,0,0,0,0,0,0,0
10265,1,1,0,0,0,0,0,0,0,0,0,0
10265,2,1,0,0,0,0,0,0,0,0,0,0
10266,1,1,14,14,14,14,14,14,14,14,14,14
10267,1,1,0,0,0,0,0,0,0,0,0,0
10268,1,1,0,0,0,0,0,0,0,0,0,0
10268,2,1,0,0,0,0,0,0,0,0,0,0
10269,1,1,0,0,22,0,19,16,9,0,0,0
10269,2,1,0,0,0,0,0,0,0,0,0,0
10270,1,1,0,0,0,0,0,0,0,0,0,0
10271,1,1,0,0,0,0,0,0,0,0,0,0
10272,0,1,0,0,0,0,0,0,0,0,0,0
10272,1,1,0,0,0,0,0,0,0,0,0,0
10273,1,1,12,0,0,0,0,0,8,0,0,12
10274,0,1,0,0,0,0,0,0,24,0,0,0
10274,1,1,0,0,0,0,0,0,0,0,0,0
10275,1,1,0,0,0,26,0,0,0,0,0,24
10276,1,1,0,0,0,0,0,0,0,0,0,0
10276,2,1,0,0,0,0,0,0,0,0,0,0
10277,0,1,0,0,0,0,0,0,0,0,0,0
10277,1,1,14,0,5,0,0,9,9,0,0,0
10278,1,1,0,0,0,0,0,0,0,0,0,0
10278,2,1,0,0,0,0,0,0,0,0,0,0
10279,1,1,0,0,0,0,0,0,0,0,0,0
10279,2,1,0,0,0,4,0,0,0,0,0,0
10280,1,1,0,0,0,0,0,0,0,0,0,0
10280,2,1,0,0,0,0,0,0,0,0,0,0
10282,1,1,16,16,16,16,16,16,16,16,16,16
10283,1,1,0,0,0,0,0,0,0,0,0,0
10283,2,1,0,0,0,0,0,0,0,0,0,0
10284,1,1,94,94,94,94,94,94,94,94,94,94
10285,1,1,9,9,9,9,9,9,9,9,9,9
10286,1,1,0,0,0,0,0,0,0,0,0,0
10286,2,1,0,0,0,0,0,0,0,0,0,0
10287,1,1,0,0,0,21,0,0,0,0,11,0
10288,1,1,0,0,0,0,0,0,0,0,0,0
10288,2,1,0,0,0,0,0,0,0,0,7,0
10289,1,1,0,0,0,0,0,0,0,0,0,0
10290,1,1,0,0,0,0,0,0,0,0,0,0
10290,2,1,0,0,0,0,0,0,0,0,0,0
10291,1,1,11,11,11,11,11,11,11,11,11,11
10291,2,1,17,17,17,17,17,17,17,17,17,17
10292,1,1,0,0,0,0,0,0,0,0,0,0
10292,2,1,0,0,0,0,0,0,0,0,0,0
10293,1,1,0,0,0,0,0,0,0,0,0,0
10293,2,1,0,0,0,0,0,0,0,0,0,0
10294,1,1,18,0,23,24,0,18,13,35,0,0
10295,1,1,16,20,13,18,27,0,0,0,24,0
10296,1,1,0,0,0,0,0,0,0,0,0,0
10297,1,1,0,0,0,0,0,0,0,0,0,0
10297,2,1,0,0,0,0,0,0,0,0,0,0
10298,1,1,0,0,0,0,0,0,0,0,0,0
10298,2,1,0,0,0,0,0,0,0,0,0,0
10299,1,1,21,21,21,21,21,21,21,21,21,21
10300,1,1,0,0,0,0,0,0,0,0,0,0
10300,2,1,0,22,0,16,0,0,0,0,0,0
10301,1,1,0,0,0,0,0,0,0,0,0,0
10302,0,1,0,18,7,0,0,16,14,0,0,20
10302,1,1,0,0,0,0,0,0,0,0,0,0
10303,1,1,0,0,0,0,0,0,0,0,0,0
10304,1,1,2,2,2,2,2,2,2,2,2,2
10305,1,1,15,15,15,15,15,15,15,15,15,15
10306,1,1,0,0,0,0,0,0,0,0,0,0
10306,2,1,0,0,0,0,0,0,0,0,0,0
10306,3,1,0,0,0,0,0,0,0,0,0,0
10307,1,1,0,0,0,0,0,0,0,12,0,0
10307,2,1,0,0,0,0,0,0,0,0,0,0
10308,1,1,20,20,20,20,20,20,20,20,20,20
10309,1,1,20,20,20,20,20,20,20,20,20,20
